Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,Blackburn,42,27,8,7,80:39:00,41,89
2,Man Utd,42,26,10,6,77:28:00,49,88
3,Nottm Forest,42,22,11,9,72:43:00,29,77
4,Liverpool,42,21,11,10,65:37:00,28,74
5,Leeds,42,20,13,9,59:38:00,21,73
6,Newcastle,42,20,12,10,67:47:00,20,72
7,Spurs,42,16,14,12,66:58:00,8,62
8,QPR,42,17,9,16,61:59:00,2,60
9,Wimbledon FC,42,15,11,16,48:65,-17,56
10,Southampton,42,12,18,12,61:63,-2,54
11,Chelsea,42,13,15,14,50:55:00,-5,54
12,Arsenal,42,13,12,17,52:49:00,3,51
13,Sheff Wed,42,13,12,17,49:57:00,-8,51
14,West Ham,42,13,11,18,44:48:00,-4,50
15,Everton,42,11,17,14,44:51:00,-7,50
16,Coventry,42,12,14,16,44:62,-18,50
17,Man City,42,12,13,17,53:64,-11,49
18,Aston Villa,42,11,15,16,51:56:00,-5,48
19,Crystal Palace,42,11,12,19,34:49:00,-15,45
20,Norwich,42,10,13,19,13:54,-17,43
21,Leicester,42,6,11,25,45:80,-35,29
22,Ipswich,42,7,6,29,36:93,-57,27
