Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,Man Utd,42,27,11,4,80:38:00,42,92
2,Blackburn,42,25,9,8,63:36:00,27,84
3,Newcastle,42,23,8,11,82:41:00,41,77
4,Arsenal,42,18,17,7,53:28:00,25,71
5,Leeds,42,18,16,8,65:39:00,26,70
6,Wimbledon FC,42,18,11,13,56:53:00,3,65
7,Sheff Wed,42,16,16,10,76:54:00,22,64
8,Liverpool,42,17,9,16,59:55:00,4,60
9,QPR,42,16,12,14,62:61,1,60
10,Aston Villa,42,15,12,15,46:50:00,-4,57
11,Coventry,42,14,14,14,43:45:00,-2,56
12,Norwich,42,12,17,13,65:61,4,53
13,West Ham,42,13,13,16,47:58:00,-11,52
14,Chelsea,42,13,12,17,49:53:00,-4,51
15,Spurs,42,11,12,19,54:59:00,-5,45
16,Man City,42,9,18,15,38:49:00,-11,45
17,Everton,42,12,8,22,42:63,-21,44
18,Southampton,42,12,7,23,49:66,-17,43
19,Ipswich,42,9,16,17,35:58:00,-23,43
20,Sheffield Utd.,42,8,18,16,42:60,-18,42
21,Oldham Athletic,42,9,13,20,42:68,-26,40
22,Swindon Town,42,5,15,22,47:100,-53,30
