Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,Arsenal,38,26,9,3,79:36:00,43,87
2,Liverpool,38,24,8,6,67:30:00,37,80
3,Man Utd,38,24,5,9,87:45:00,42,77
4,Newcastle,38,21,8,9,74:52:00,22,71
5,Leeds,38,18,12,8,53:37:00,16,66
6,Chelsea,38,17,13,8,66:38:00,28,64
7,West Ham,38,15,8,15,48:57:00,-9,53
8,Aston Villa,38,12,14,12,46:47:00,-1,50
9,Spurs,38,14,8,16,49:53:00,-4,50
10,Blackburn,38,12,10,16,55:51:00,4,46
11,Southampton,38,12,9,17,46:54:00,-8,45
12,Middlesbrough,38,12,9,17,35:47:00,-12,45
13,Fulham,38,10,14,14,36:44:00,-8,44
14,Charlton,38,10,14,14,38:49:00,-11,44
15,Everton,38,11,10,17,45:57:00,-12,43
16,Bolton,38,9,13,16,44:62,-18,40
17,Sunderland,38,10,10,18,29:51:00,-22,40
18,Ipswich,38,9,9,20,41:64,-23,36
19,Derby,38,8,6,24,33:63,-30,30
20,Leicester,38,5,13,20,30:64,-34,28
