Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,Arsenal,38,26,12,0,73:26:00,47,90
2,Chelsea,38,24,7,7,67:30:00,37,79
3,Man Utd,38,23,6,9,64:35:00,29,75
4,Liverpool,38,16,12,10,55:37:00,18,60
5,Newcastle,38,13,17,8,52:40:00,12,56
6,Aston Villa,38,15,11,12,48:44:00,4,56
7,Charlton,38,14,11,13,51:51:00,0,53
8,Bolton,38,14,11,13,48:56:00,-8,53
9,Fulham,38,14,10,14,52:46:00,6,52
10,Birmingham,38,12,14,12,43:48:00,-5,50
11,Middlesbrough,38,13,9,16,44:52:00,-8,48
12,Southampton,38,12,11,15,44:45:00,-1,47
13,Portsmouth,38,12,9,17,47:54:00,-7,45
14,Spurs,38,13,6,19,47:57:00,-10,45
15,Blackburn,38,12,8,18,51:59:00,-8,44
16,Man City,38,9,14,15,55:54:00,1,41
17,Everton,38,9,12,17,45:57:00,-12,39
18,Leicester,38,6,15,17,48:65,-17,33
19,Leeds,38,8,9,21,40:79,-39,33
20,Wolves,38,7,12,19,38:77,-39,33
