Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1,Man Utd,38,27,6,5,80:22:00,58,87
2,Chelsea,38,25,10,3,65:26:00,39,85
3,Arsenal,38,24,11,3,74:31:00,43,83
4,Liverpool,38,21,13,4,67:28:00,39,76
5,Everton,38,19,8,11,55:33:00,22,65
6,Aston Villa,38,16,12,10,71:51:00,20,60
7,Blackburn,38,15,13,10,50:48:00,2,58
8,Portsmouth,38,16,9,13,48:40:00,8,57
9,Man City,38,15,10,13,45:53:00,-8,55
10,West Ham,38,13,10,15,42:50:00,-8,49
11,Spurs,38,11,13,14,66:61,5,46
12,Newcastle,38,11,10,17,45:65,-20,43
13,Middlesbrough,38,10,12,16,43:53:00,-10,42
14,Wigan,38,10,10,18,34:51:00,-17,40
15,Sunderland,38,11,6,21,36:59:00,-23,39
16,Bolton,38,9,10,19,36:54:00,-18,37
17,Fulham,38,8,12,18,38:60,-22,36
18,Reading,38,10,6,22,41:66,-25,36
19,Birmingham,38,8,11,19,46:62,-16,35
20,Derby,38,1,8,29,0.895138889,-69,11
